"Plots","Species","Date","AboveGroundBiomass","MeanHeight","PercentCover"
"A","R. maritimus",2021-05-01,20.5974574899301,1.93057046271861,82.0946294115856
"A","B. cernua",2021-05-01,49.7699242085218,2.41040057735518,78.9356231689453
"A","S. acutus",2021-05-01,93.4705231105909,3.34233369096182,47.7619622135535
"B","R. maritimus",2021-05-02,9.94661601725966,1.69536468922161,20.2692255144939
"B","B. cernua",2021-05-02,91.2875924259424,4.46099167922512,23.9629415096715
"B","S. acutus",2021-05-02,25.8016780717298,2.17329742386937,79.730882588774
"C","R. maritimus",2021-05-03,65.4723928077146,0.0653878774028271,57.487219828181
"C","B. cernua",2021-05-03,21.3208135217428,4.95919310022146,59.8092422354966
"C","S. acutus",2021-05-03,97.6170694921166,2.26947744609788,68.2788078673184
"D","R. maritimus",2021-05-04,45.2570831403136,1.42395240487531,89.5445425994694
"D","B. cernua",2021-05-04,61.4644971676171,2.06562104751356,29.3730155099183
"D","S. acutus",2021-05-04,18.0866361130029,3.15207061241381,18.9193622441962
"E","R. maritimus",2021-05-05,71.1743867723271,2.59288068744354,26.2474110117182
"E","B. cernua",2021-05-05,59.057315881364,4.80704968213104,51.0959698352963
"E","S. acutus",2021-05-05,26.7508207354695,1.54146165354177,34.7230677725747
"F","R. maritimus",2021-05-06,68.9627848798409,3.80986930802464,16.5027638664469
"F","B. cernua",2021-05-06,30.6443258887157,0.544031582539901,6.22140523046255
"F","S. acutus",2021-05-06,21.0925750667229,2.61993038933724,19.2209535045549
"G","R. maritimus",2021-05-07,2.77871224097908,3.4072125738021,14.1144325723872
"G","B. cernua",2021-05-07,13.8628246728331,3.36856116424315,49.5001644827425
"G","S. acutus",2021-05-07,22.6380796171725,4.95549609768204,66.4618249749765
"A","R. maritimus",2021-05-08,17.6556752528995,0.0669516657944769,64.7060193819925
"A","B. cernua",2021-05-08,71.7618508264422,2.99782912712544,2.3331202333793
"A","S. acutus",2021-05-08,21.2142521282658,3.9711993036326,86.12094768323
"H","R. maritimus",2021-05-08,95.3548396006227,4.9474991671741,28.2883955864236
"H","B. cernua",2021-05-08,98.6311589134857,1.34646889870055,10.9100963454694
"H","S. acutus",2021-05-08,36.3696809858084,2.43074552156031,83.6732269730419
"B","R. maritimus",2021-05-09,31.627170718275,4.19720175093971,71.1121222469956
"B","B. cernua",2021-05-09,29.3603372760117,4.32169735315256,5.89343772735447
"B","S. acutus",2021-05-09,47.8545248275623,3.56257339357398,45.5274453619495
"I","R. maritimus",2021-05-09,43.6931110452861,1.20405798079446,65.8877609064803
"I","B. cernua",2021-05-09,42.0215893303975,0.736614498309791,72.369075124152
"I","S. acutus",2021-05-09,42.9713366786018,1.74151026061736,99.3749226210639
"C","R. maritimus",2021-05-10,35.3197271935642,3.57783033046871,7.70643802825361
"C","B. cernua",2021-05-10,12.9372348077595,2.47796788928099,56.0900748008862
"C","S. acutus",2021-05-10,73.1792511884123,2.55584891885519,60.1541217649356
"J","R. maritimus",2021-05-10,47.5825038738549,4.67856233823113,42.3098609549925
